Nombre,Precio,Link
132 resultados,Tarjetas de video,https://www.solotodo.cl
MSI GeForce GTX 1630 AERO ITX 4G OC [GTX 1630 AERO ITX 4G OC],$159.900,https://www.solotodo.cl/products/152659-msi-geforce-gtx-1630-aero-itx-4g-oc-gtx-1630-aero-itx-4g-oc
MSI GeForce GTX 1650 D6 VENTUS XS OCV1 [GTX 1650 D6 VENTUS XS OCV1],$178.900,https://www.solotodo.cl/products/89494-msi-geforce-gtx-1650-d6-ventus-xs-ocv1-gtx-1650-d6-ventus-xs-ocv1
Palit GeForce RTX 3050 StormX 6GB [NE63050018JE-1070F],$182.990,https://www.solotodo.cl/products/249457-palit-geforce-rtx-3050-stormx-6gb-ne63050018je-1070f
Gigabyte GeForce GTX 1650 D6 OC 4G [GV-N1656OC-4GD],$184.990,https://www.solotodo.cl/products/81323-gigabyte-geforce-gtx-1650-d6-oc-4g-gv-n1656oc-4gd
MSI GeForce RTX 3050 LP 6G OC [RTX 3050 LP 6G OC],$184.990,https://www.solotodo.cl/products/238622-msi-geforce-rtx-3050-lp-6g-oc-rtx-3050-lp-6g-oc
MSI GeForce RTX 3050 VENTUS 2X 6G OC,$189.990,https://www.solotodo.cl/products/235256-msi-geforce-rtx-3050-ventus-2x-6g-oc
Zotac GAMING GeForce GTX 1650 AMP Core [ZT-T16520J-10L],$194.550,https://www.solotodo.cl/products/123619-zotac-gaming-geforce-gtx-1650-amp-core-zt-t16520j-10l
MSI GeForce GTX 1650 D6 GAMING X [GTX 1650 D6 GAMING X],$199.000,https://www.solotodo.cl/products/82449-msi-geforce-gtx-1650-d6-gaming-x-gtx-1650-d6-gaming-x
Gigabyte GeForce GTX 1650 D6 OC 4G (rev. 2.0) [GV-N1656OC-4GD (rev. 2.0)],$209.490,https://www.solotodo.cl/products/87766-gigabyte-geforce-gtx-1650-d6-oc-4g-rev-20-gv-n1656oc-4gd-rev-20
Gigabyte GeForce GTX 1660 SUPER OC 6G [GV-N166SOC-6GD],$209.900,https://www.solotodo.cl/products/69110-gigabyte-geforce-gtx-1660-super-oc-6g-gv-n166soc-6gd
MSI GeForce GTX 1650 D6 VENTUS XS OCV3 [GTX 1650 D6 VENTUS XS OCV3],$214.995,https://www.solotodo.cl/products/228332-msi-geforce-gtx-1650-d6-ventus-xs-ocv3-gtx-1650-d6-ventus-xs-ocv3
PNY GeForce GTX 1650 Dual Fan [VCG16504D6DFXPB1],$219.990,https://www.solotodo.cl/products/202222-pny-geforce-gtx-1650-dual-fan-vcg16504d6dfxpb1
Gigabyte GeForce RTX 3050 OC Low Profile 6G [GV-N3050OC-6GL],$219.900,https://www.solotodo.cl/products/237567-gigabyte-geforce-rtx-3050-oc-low-profile-6g-gv-n3050oc-6gl
Gigabyte GeForce RTX 3050 WINDFORCE OC 6G [GV-N3050WF2OC-6GD],$219.951,https://www.solotodo.cl/products/248951-gigabyte-geforce-rtx-3050-windforce-oc-6g-gv-n3050wf2oc-6gd
Gigabyte GeForce RTX 2060 OC (rev. 2.0) [GV-N2060OC-6GD],$220.000,https://www.solotodo.cl/products/57894-gigabyte-geforce-rtx-2060-oc-rev-20-gv-n2060oc-6gd
MSI GeForce RTX 3050 GAMING X 6G [RTX 3050 GAMING X 6G],$231.990,https://www.solotodo.cl/products/235231-msi-geforce-rtx-3050-gaming-x-6g-rtx-3050-gaming-x-6g
MSI GeForce RTX 3050 VENTUS 2X XS 8G OC,$229.900,https://www.solotodo.cl/products/222484-msi-geforce-rtx-3050-ventus-2x-xs-8g-oc
Gigabyte GeForce RTX 3050 WINDFORCE [GV-N3050WF2OCV2-6GD],$237.490,https://www.solotodo.cl/products/265426-gigabyte-geforce-rtx-3050-windforce-gv-n3050wf2ocv2-6gd
ASUS TUF-GTX1650-O4GD6-GAMING,$249.900,https://www.solotodo.cl/products/86571-asus-tuf-gtx1650-o4gd6-gaming
ASUS DUAL-RTX3050-O6G,$249.900,https://www.solotodo.cl/products/238236-asus-dual-rtx3050-o6g
MSI GeForce RTX 3050 Ventus 2X 8G OC,$268.000,https://www.solotodo.cl/products/131797-msi-geforce-rtx-3050-ventus-2x-8g-oc
